year,OBJECTID,State,County,AREA HARVESTED_BARLEY,AREA HARVESTED_BEANS,AREA HARVESTED_CORN,AREA HARVESTED_COTTON,AREA HARVESTED_FLAXSEED,AREA HARVESTED_HAY,AREA HARVESTED_OATS,AREA HARVESTED_PEANUTS,AREA HARVESTED_RICE,AREA HARVESTED_RYE,AREA HARVESTED_SORGHUM,AREA HARVESTED_SOYBEANS,AREA HARVESTED_SUGARBEETS,AREA HARVESTED_SUGARCANE,AREA HARVESTED_SUNFLOWER,AREA HARVESTED_TOBACCO,AREA HARVESTED_WHEAT,"AREA PLANTED, NET_BARLEY","AREA PLANTED, NET_CORN","AREA PLANTED, NET_OATS","AREA PLANTED, NET_SORGHUM","AREA PLANTED, NET_WHEAT",AREA PLANTED_BARLEY,AREA PLANTED_BEANS,AREA PLANTED_CHICKPEAS,AREA PLANTED_CORN,AREA PLANTED_COTTON,AREA PLANTED_FLAXSEED,AREA PLANTED_OATS,AREA PLANTED_RICE,AREA PLANTED_RYE,AREA PLANTED_SORGHUM,AREA PLANTED_SOYBEANS,AREA PLANTED_SUGARBEETS,AREA PLANTED_SUNFLOWER,AREA PLANTED_WHEAT,PRODUCTION_BARLEY,PRODUCTION_BEANS,PRODUCTION_CHICKPEAS,PRODUCTION_CORN,PRODUCTION_COTTON,PRODUCTION_FLAXSEED,PRODUCTION_HAY,PRODUCTION_OATS,PRODUCTION_PEANUTS,PRODUCTION_RICE,PRODUCTION_RYE,PRODUCTION_SORGHUM,PRODUCTION_SOYBEANS,PRODUCTION_SUGARBEETS,PRODUCTION_SUGARCANE,PRODUCTION_SUNFLOWER,PRODUCTION_TOBACCO,PRODUCTION_WHEAT,SUCROSE_SUGARBEETS,SUCROSE_SUGARCANE,YIELD_BARLEY,YIELD_BEANS,YIELD_CHICKPEAS,YIELD_CORN,YIELD_COTTON,YIELD_FLAXSEED,YIELD_HAY,YIELD_OATS,YIELD_PEANUTS,YIELD_RICE,YIELD_RYE,YIELD_SORGHUM,YIELD_SOYBEANS,YIELD_SUGARBEETS,YIELD_SUGARCANE,YIELD_SUNFLOWER,YIELD_TOBACCO,YIELD_WHEAT,标记
1987,-42,CONNECTICUT,OTHER (COMBINED) COUNTIES,,,,,,,,,,,,,,,,0.44452800000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,762.3034447542716,,,,,,,,,,,,,,,,,,,,0.77112,,"种类：PRODUCTION_BEANS,FAO总量：1180750.0,国家总量：1479283.9952; 种类：PRODUCTION_CORN,FAO总量：3311000.0,国家总量：183025569.94; 种类：PRODUCTION_RYE,FAO总量：495980.0,国家总量：356946.19999999995; 种类：PRODUCTION_COTTON,FAO总量：8447700.0,国家总量：3212504.2005000003; 种类：PRODUCTION_SOYBEANS,FAO总量：52737008.0,国家总量：2679415.742430724; 种类：PRODUCTION_SUNFLOWER,FAO总量：1183000.0,国家总量：2359509.2640000004; 种类：PRODUCTION_WHEAT,FAO总量：57361808.0,国家总量：114739818.164; "
1987,-39,WASHINGTON,OTHER (COMBINED) COUNTIES,8.708,,30.48,,,,4.356,,,,,,,,,,32.664,8.708,20.32,,,21.776,8.708,,,30.48,,,33.396,,,,,,,32.664,630.9194196704865,,,64.78884564537802,,,,352.38345292778587,,,,,,,,,,1034.2139402395508,,,3.15665,,,9.525,,,,1.312608,,,,,,,,,,8.481752,"种类：PRODUCTION_BEANS,FAO总量：1180750.0,国家总量：1479283.9952; 种类：PRODUCTION_CORN,FAO总量：3311000.0,国家总量：183025569.94; 种类：PRODUCTION_RYE,FAO总量：495980.0,国家总量：356946.19999999995; 种类：PRODUCTION_COTTON,FAO总量：8447700.0,国家总量：3212504.2005000003; 种类：PRODUCTION_SOYBEANS,FAO总量：52737008.0,国家总量：2679415.742430724; 种类：PRODUCTION_SUNFLOWER,FAO总量：1183000.0,国家总量：2359509.2640000004; 种类：PRODUCTION_WHEAT,FAO总量：57361808.0,国家总量：114739818.164; "
1987,-38,MASSACHUSETTS,OTHER (COMBINED) COUNTIES,,,,,,,,,,,,,,,,0.049896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.59788839216434,,,,,,,,,,,,,,,,,,,,0.81648,,"种类：PRODUCTION_BEANS,FAO总量：1180750.0,国家总量：1479283.9952; 种类：PRODUCTION_CORN,FAO总量：3311000.0,国家总量：183025569.94; 种类：PRODUCTION_RYE,FAO总量：495980.0,国家总量：356946.19999999995; 种类：PRODUCTION_COTTON,FAO总量：8447700.0,国家总量：3212504.2005000003; 种类：PRODUCTION_SOYBEANS,FAO总量：52737008.0,国家总量：2679415.742430724; 种类：PRODUCTION_SUNFLOWER,FAO总量：1183000.0,国家总量：2359509.2640000004; 种类：PRODUCTION_WHEAT,FAO总量：57361808.0,国家总量：114739818.164; "
1987,-37,KANSAS,OTHER (COMBINED) COUNTIES,2612.4,,,,,,2250.6,,,,,,,,,,,,,,,,3047.8,,,,,,3484.8,,,,,,,,104428.04187649432,,,,,,,95584.01160666192,,,,,,,,,,,,,7.832846000000001,,,,,,,5.420316000000001,,,,,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：1180750.0,国家总量：1479283.9952; 种类：PRODUCTION_CORN,FAO总量：3311000.0,国家总量：183025569.94; 种类：PRODUCTION_RYE,FAO总量：495980.0,国家总量：356946.19999999995; 种类：PRODUCTION_COTTON,FAO总量：8447700.0,国家总量：3212504.2005000003; 种类：PRODUCTION_SOYBEANS,FAO总量：52737008.0,国家总量：2679415.742430724; 种类：PRODUCTION_SUNFLOWER,FAO总量：1183000.0,国家总量：2359509.2640000004; 种类：PRODUCTION_WHEAT,FAO总量：57361808.0,国家总量：114739818.164; "
1987,-36,UTAH,OTHER (COMBINED) COUNTIES,15.239,,58.419999999999995,,,,,,,,,,,,,,59.884,,,,,,17.416,,,66.03999999999999,,,,,,,,,,65.328,1131.3037869953548,,,53.301461665701076,,,,,,,,,,,,,,1850.6986299023536,,,6.130432000000001,,,8.087359999999999,,,,,,,,,,,,,,19.922318,"种类：PRODUCTION_BEANS,FAO总量：1180750.0,国家总量：1479283.9952; 种类：PRODUCTION_CORN,FAO总量：3311000.0,国家总量：183025569.94; 种类：PRODUCTION_RYE,FAO总量：495980.0,国家总量：356946.19999999995; 种类：PRODUCTION_COTTON,FAO总量：8447700.0,国家总量：3212504.2005000003; 种类：PRODUCTION_SOYBEANS,FAO总量：52737008.0,国家总量：2679415.742430724; 种类：PRODUCTION_SUNFLOWER,FAO总量：1183000.0,国家总量：2359509.2640000004; 种类：PRODUCTION_WHEAT,FAO总量：57361808.0,国家总量：114739818.164; "
1987,-35,OHIO,OTHER (COMBINED) COUNTIES,,,4122.42,,,,214.896,,,,,9.877375840000001,1600.0,,,,489.96000000000004,,,,,,,,,63.5,,,421.08,,,,10.124310236000001,1700.0,,571.62,,,,1282.451547491135,,,,13092.513540654445,,,,,6675.528182786781,26746.750880602453,,,,11732.88499045448,32.5,,,,,6.15696,,,,9.577392,,,,,0.16310016855799997,36.7,,,,24.465336,"种类：PRODUCTION_BEANS,FAO总量：1180750.0,国家总量：1479283.9952; 种类：PRODUCTION_CORN,FAO总量：3311000.0,国家总量：183025569.94; 种类：PRODUCTION_RYE,FAO总量：495980.0,国家总量：356946.19999999995; 种类：PRODUCTION_COTTON,FAO总量：8447700.0,国家总量：3212504.2005000003; 种类：PRODUCTION_SOYBEANS,FAO总量：52737008.0,国家总量：2679415.742430724; 种类：PRODUCTION_SUNFLOWER,FAO总量：1183000.0,国家总量：2359509.2640000004; 种类：PRODUCTION_WHEAT,FAO总量：57361808.0,国家总量：114739818.164; "
1987,-34,NEW YORK,OTHER (COMBINED) COUNTIES,,,2.54,,,1200.0,7.26,,,,,,,,,,70.772,,,,,,,2585.4629999999997,,2.54,,,23.232,,,,,,,97.992,,29905.42057106412,,4.365205912277243,,,2800.0,315.67684324780816,,,,,,,,,,1526.826369669442,,,,51.981413999999994,,2.413,,,7.03,0.818928,,,,,,,,,,24.312904000000003,"种类：PRODUCTION_BEANS,FAO总量：1180750.0,国家总量：1479283.9952; 种类：PRODUCTION_CORN,FAO总量：3311000.0,国家总量：183025569.94; 种类：PRODUCTION_RYE,FAO总量：495980.0,国家总量：356946.19999999995; 种类：PRODUCTION_COTTON,FAO总量：8447700.0,国家总量：3212504.2005000003; 种类：PRODUCTION_SOYBEANS,FAO总量：52737008.0,国家总量：2679415.742430724; 种类：PRODUCTION_SUNFLOWER,FAO总量：1183000.0,国家总量：2359509.2640000004; 种类：PRODUCTION_WHEAT,FAO总量：57361808.0,国家总量：114739818.164; "
1987,-33,INDIANA,OTHER (COMBINED) COUNTIES,,,2794.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,909.8008111904148,,,,,,,,,,,,,,,,,,,,4.12496,,,,,,,,,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：1180750.0,国家总量：1479283.9952; 种类：PRODUCTION_CORN,FAO总量：3311000.0,国家总量：183025569.94; 种类：PRODUCTION_RYE,FAO总量：495980.0,国家总量：356946.19999999995; 种类：PRODUCTION_COTTON,FAO总量：8447700.0,国家总量：3212504.2005000003; 种类：PRODUCTION_SOYBEANS,FAO总量：52737008.0,国家总量：2679415.742430724; 种类：PRODUCTION_SUNFLOWER,FAO总量：1183000.0,国家总量：2359509.2640000004; 种类：PRODUCTION_WHEAT,FAO总量：57361808.0,国家总量：114739818.164; "
1987,-32,IDAHO,OTHER (COMBINED) COUNTIES,,18.1436,35.559999999999995,,,,,,,,,,,,,,,,,,,,,40.8231,,45.72,,,,,,,,,,,,456.1843815925035,,17.92031900829605,,,,,,,,,,,,,,,,,,171.45702,,2.921,,,,,,,,,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：1180750.0,国家总量：1479283.9952; 种类：PRODUCTION_CORN,FAO总量：3311000.0,国家总量：183025569.94; 种类：PRODUCTION_RYE,FAO总量：495980.0,国家总量：356946.19999999995; 种类：PRODUCTION_COTTON,FAO总量：8447700.0,国家总量：3212504.2005000003; 种类：PRODUCTION_SOYBEANS,FAO总量：52737008.0,国家总量：2679415.742430724; 种类：PRODUCTION_SUNFLOWER,FAO总量：1183000.0,国家总量：2359509.2640000004; 种类：PRODUCTION_WHEAT,FAO总量：57361808.0,国家总量：114739818.164; "
1987,-30,MISSOURI,OTHER (COMBINED) COUNTIES,,,2067.56,,,,37.025999999999996,,,,71.11999999999999,6090.204742147001,,,,0.0163296,231.37,,,,,,,,,64.77,,,81.312,,,148.59,6176.6935143460005,,,255.86800000000002,,,,572.5312175470995,,,,1399.25596100075,,,,4507.316420540886,3835488.264949079,,,,29.970513584276585,4112.361220268318,,,,,,7.508240000000001,,,,4.761107999999999,,,,12.649199999999999,0.6995651438680001,,,,2.499336,14.219728,"种类：PRODUCTION_BEANS,FAO总量：1180750.0,国家总量：1479283.9952; 种类：PRODUCTION_CORN,FAO总量：3311000.0,国家总量：183025569.94; 种类：PRODUCTION_RYE,FAO总量：495980.0,国家总量：356946.19999999995; 种类：PRODUCTION_COTTON,FAO总量：8447700.0,国家总量：3212504.2005000003; 种类：PRODUCTION_SOYBEANS,FAO总量：52737008.0,国家总量：2679415.742430724; 种类：PRODUCTION_SUNFLOWER,FAO总量：1183000.0,国家总量：2359509.2640000004; 种类：PRODUCTION_WHEAT,FAO总量：57361808.0,国家总量：114739818.164; "
1987,-28,ILLINOIS,OTHER (COMBINED) COUNTIES,,,3556.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,997.1049294359597,,,,,,,,,,,,,,,,,,,,3.5179,,,,,,,,,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：1180750.0,国家总量：1479283.9952; 种类：PRODUCTION_CORN,FAO总量：3311000.0,国家总量：183025569.94; 种类：PRODUCTION_RYE,FAO总量：495980.0,国家总量：356946.19999999995; 种类：PRODUCTION_COTTON,FAO总量：8447700.0,国家总量：3212504.2005000003; 种类：PRODUCTION_SOYBEANS,FAO总量：52737008.0,国家总量：2679415.742430724; 种类：PRODUCTION_SUNFLOWER,FAO总量：1183000.0,国家总量：2359509.2640000004; 种类：PRODUCTION_WHEAT,FAO总量：57361808.0,国家总量：114739818.164; "
